Name,Transcriber,Glottocode,Date,Type,Latitude,Longitude
Ihanja,Andy Huber,,9/15/2009,short wordlist,-9.10589,34.6563
Ikuna,Michelle Morrison,,9/12/2009,full wordlist,-9.13708,34.9083
Itambo,Andy Huber,,9/10/2009,short wordlist,-9.36073,35.32647
Itipula,Michelle Morrison,,9/8/2009,full wordlist,-9.34988,35.21523
Kanamalenga,Michelle Morrison,,9/16/2009,full wordlist,-8.91872,34.63776
Liwengi,Andy Huber,,9/7/2009,full wordlist,-9.58491,35.12116
Lwanzali,Andy Huber,,9/10/2009,short wordlist,-9.3404,35.27635
Makanjaula,Andy Huber,,9/9/2009,short wordlist,-9.52396,34.79638
Ujindile,Michelle Morrison,,9/14/2009,full wordlist,-9.24553,34.50936
Ukalawa,Michelle Morrison,,9/11/2009,full wordlist,-9.18589,35.28047
Utalingoro,Andy Huber,,9/9/2009,short wordlist,-9.4366,34.70918
Utengule,Andy Huber,,9/15/2009,short wordlist,-8.94924,34.76754
Wangama,Andy Huber,,9/14/2009,short wordlist,-9.17368,34.497
